230,6.571228,16802
319,6.104292,13152
404,5.813452,17921
17,5.124671,12698
1012,4.823773,1653
154,4.599197,18259
26,4.595291,12892
996,4.574208,14641
192,4.442595,6862
100,4.415423,6886
458,4.415423,6886
214,4.414217,16490
197,4.401542,19345
272,4.343583,7305
232,4.316861,7367
162,4.316861,7367
20,4.316861,7367
138,4.316861,7367
957,4.316861,7367
30,4.316861,7367
641,4.316861,7367
774,4.304771,7366
267,4.272044,13132
832,4.012113,7583
454,4.012113,7583
455,4.002998,9979
505,4.002998,9979
508,4.002998,9979
529,4.002998,9979
904,4.002998,9979
811,4.002998,9979
861,4.002998,9979
800,3.923643,7495
951,3.901514,7496
955,3.895659,1384
969,3.761670,19751
588,3.704227,12953
3,3.633663,1674
89,3.633663,1674
891,3.633663,1674
152,3.633663,1674
164,3.633663,1674
156,3.633663,1674
157,3.633663,1674
12,3.633663,1674
117,3.633663,1674
0,3.633663,1674
521,3.561864,9445
642,2.553853,823
